frame_counter,prob_free,prob_left,prob_right,prob_blocked,direction,force,rot_force,rot_force_p_component,rot_force_d_component,n_frames_stuck,exploration
140,0.551,0.383,0.05,0.015,FWRD,0.3,0.0,0.0,0.0,0,False
141,0.859,0.09,0.047,0.003,FWRD,0.3,0.0,0.0,0.0,0,False
142,0.791,0.153,0.053,0.003,FWRD,0.3,0.0,0.0,0.0,0,False
143,0.989,0.006,0.004,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
144,0.964,0.009,0.027,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
145,0.979,0.004,0.017,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
146,0.974,0.001,0.026,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
147,0.996,0.0,0.004,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
148,0.859,0.005,0.136,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
149,0.966,0.013,0.02,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
150,0.966,0.003,0.031,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
151,0.982,0.0,0.017,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
152,0.987,0.001,0.012,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
153,0.989,0.0,0.011,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
154,0.965,0.002,0.032,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
155,0.904,0.005,0.09,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
156,0.957,0.001,0.042,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
157,0.927,0.003,0.07,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
158,0.901,0.004,0.094,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
159,0.953,0.0,0.047,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
160,0.965,0.003,0.032,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
161,0.958,0.001,0.041,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
